Unleaded,Crude_Price,SP500,PDI,RR_Sales,CPI,Housing,Unemployment,Production,Imports,Stocks,Demand
109.000,18.86,636.02,5660.0,134926,154.4,1467,5.6,201.354,226.397,1544.253,33.697
108.900,19.09,640.43,5712.9,136781,154.9,1491,5.5,190.727,191.754,1500.274,34.726
113.700,21.33,645.50,5748.8,137527,155.7,1424,5.5,203.715,223.671,1481.772,36.686
123.100,23.50,654.17,5732.7,137504,156.3,1516,5.6,193.317,221.116,1501.631,38.655
127.900,21.17,669.12,5816.0,138302,156.6,1504,5.6,198.208,248.909,1519.542,40.338
125.600,20.42,670.63,5850.8,137881,156.7,1467,5.3,193.746,238.747,1546.497,40.954
122.700,21.30,639.95,5847.7,137818,157.0,1472,5.5,196.471,241.797,1550.013,40.410
120.700,21.90,651.99,5867.7,137630,157.3,1557,5.1,197.162,249.286,1545.382,40.693
120.200,23.97,687.31,5897.8,139023,157.8,1475,5.2,194.456,220.599,1551.463,39.611
120.400,24.88,705.27,5914.7,139721,158.3,1392,5.2,200.907,238.717,1537.692,40.212
123.200,23.71,757.02,5941.2,139250,158.6,1489,5.4,194.268,220.314,1521.745,40.184
123.500,25.23,740.74,5969.0,139471,158.6,1370,5.4,201.685,226.532,1507.416,41.066
123.600,25.13,786.16,5996.3,140228,159.1,1355,5.3,198.466,232.255,1500.682,37.615
123.000,22.18,790.82,6026.6,141145,159.6,1486,5.2,182.400,208.159,1481.675,39.917
120.500,20.97,757.12,6060.3,141512,160.0,1457,5.2,200.013,240.380,1511.551,40.532
119.900,19.70,801.34,6070.2,140455,160.2,1492,5.1,193.239,239.601,1517.575,40.736
120.000,20.82,848.28,6092.8,139403,160.1,1442,4.9,200.702,268.234,1561.043,39.762
119.800,19.26,885.14,6119.8,141104,160.3,1494,5.0,193.252,262.763,1574.812,41.027
117.400,19.66,954.29,6147.9,142605,160.5,1437,4.9,198.691,253.506,1559.004,44.874
122.400,19.95,899.47,6184.5,142610,160.8,1390,4.8,196.769,267.244,1570.148,45.109
123.100,19.80,947.28,6215.6,142856,161.2,1546,4.9,194.575,265.199,1592.273,44.544
119.700,21.33,914.62,6252.8,142305,161.6,1520,4.7,200.482,276.743,1597.809,44.985
117.100,20.19,955.40,6292.5,142539,161.5,1510,4.6,193.778,250.987,1599.519,43.336
113.100,18.33,970.43,6326.8,142891,161.3,1566,4.7,202.464,237.228,1559.759,45.669
108.600,16.72,980.28,6386.8,142966,161.6,1525,4.6,202.756,258.506,1569.770,40.816
104.900,16.06,1049.34,6424.3,143002,161.9,1584,4.6,181.321,225.255,1568.605,43.093
101.700,15.12,1101.75,6462.2,143854,162.2,1567,4.7,198.639,251.835,1586.947,44.455
103.000,15.35,1111.75,6491.5,145485,162.5,1540,4.3,194.483,269.552,1614.074,40.526
106.400,14.91,1090.82,6527.0,145790,162.8,1536,4.4,196.754,278.595,1651.983,40.816
106.400,13.72,1133.84,6558.7,146780,163.0,1641,4.5,188.018,263.842,1650.702,41.647
105.500,14.17,1120.67,6586.4,145480,163.2,1698,4.5,192.026,294.715,1661.499,45.928
102.600,13.47,957.28,6616.9,144683,163.4,1614,4.5,192.282,284.481,1668.858,45.523
100.900,15.03,1017.01,6633.1,145897,163.6,1582,4.6,173.676,255.012,1652.490,44.249
101.900,14.46,1098.67,6658.3,147975,164.0,1715,4.5,190.420,268.678,1649.419,44.111
99.500,13.00,1163.63,6685.7,148877,164.0,1660,4.4,184.198,268.204,1671.784,42.967
94.500,11.35,1229.23,6704.3,149986,163.9,1792,4.4,187.347,258.909,1646.975,43.785
93.900,12.52,1279.64,6742.4,149903,164.3,1748,4.3,184.864,260.189,1642.103,39.569
92.100,12.01,1238.33,6762.6,151494,164.5,1670,4.4,167.034,237.109,1635.355,41.953
98.200,14.68,1286.37,6775.0,152098,165.0,1710,4.2,182.362,270.921,1620.118,43.016
113.100,17.31,1335.18,6793.4,152151,166.2,1553,4.3,176.616,277.686,1624.089,44.649
113.100,17.72,1301.84,6810.3,153457,166.2,1611,4.2,182.122,282.050,1657.542,44.151
111.400,17.92,1372.71,6835.0,153899,166.2,1559,4.3,172.808,266.645,1642.303,44.891
115.800,20.10,1328.72,6860.7,154434,166.7,1669,4.3,179.738,291.123,1643.652,43.652
122.100,21.28,1320.41,6902.1,155747,167.1,1648,4.2,179.187,276.154,1621.628,43.324
125.600,23.80,1282.71,6921.2,155752,167.9,1635,4.2,174.113,255.799,1614.843,41.855
124.400,22.69,1362.93,6975.5,155756,168.2,1608,4.1,184.361,266.999,1585.057,42.626
125.100,25.00,1388.91,7031.1,157294,168.3,1648,4.1,178.811,246.722,1570.507,41.638
127.300,26.10,1469.25,7106.1,159879,168.3,1708,4.0,184.716,255.266,1492.931,44.316
128.900,27.26,1394.46,7186.2,158353,168.8,1636,4.0,179.316,242.698,1477.448,38.697
137.700,29.37,1366.42,7236.8,160012,169.8,1737,4.1,169.703,241.236,1466.210,42.768
151.600,29.84,1498.58,7285.9,160944,171.2,1604,4.0,183.464,272.503,1476.302,45.487
146.500,25.72,1452.43,7309.2,158575,171.3,1626,3.8,175.625,280.228,1505.432,42.873
148.700,28.79,1420.60,7342.2,158539,171.5,1575,4.0,181.242,281.621,1517.741,44.622
163.300,31.82,1454.60,7383.3,158792,172.4,1559,4.0,174.686,286.000,1525.954,47.451
155.100,29.70,1430.83,7440.1,157868,172.8,1463,4.0,177.920,291.346,1539.634,46.512
146.500,31.26,1517.68,7479.0,158045,172.8,1541,4.1,179.451,308.103,1531.794,47.258
155.000,33.88,1436.52,7511.8,159863,173.7,1507,3.9,172.731,284.528,1526.910,47.095
153.200,33.11,1429.40,7534.2,159271,174.0,1549,3.9,180.080,278.052,1506.655,46.108
151.700,34.42,1314.95,7539.3,158394,174.1,1551,3.9,174.980,267.387,1505.414,46.120
144.300,28.44,1320.28,7558.0,157924,174.0,1532,3.9,181.508,286.114,1467.547,45.412
144.700,29.59,1366.01,7633.7,158836,175.1,1600,4.2,179.767,276.911,1478.528,42.867
145.000,29.61,1239.94,7659.6,158409,175.8,1625,4.2,161.843,241.046,1472.902,45.542
140.900,27.25,1160.33,7683.9,156995,176.2,1590,4.3,182.290,297.683,1484.056,46.406
155.200,27.49,1249.46,7680.7,159186,176.9,1649,4.4,175.879,303.320,1521.526,46.525
170.200,28.63,1255.82,7685.5,158793,177.7,1605,4.3,180.712,306.450,1555.265,47.886
161.600,27.60,1224.42,7700.6,157793,178.0,1636,4.5,172.974,273.160,1563.020,49.633
142.100,26.43,1211.23,7813.9,157566,177.5,1670,4.6,178.208,296.127,1568.330,46.856
142.100,27.37,1133.58,7950.0,158638,177.5,1567,4.9,177.488,290.870,1548.249,48.223
152.200,26.20,1040.94,7866.2,155022,178.3,1562,5.0,171.270,280.182,1578.940,46.738
131.500,22.17,1059.78,7771.7,165886,177.7,1540,5.3,178.129,285.531,1576.990,45.603
117.100,19.64,1139.45,7785.0,161668,177.4,1602,5.5,176.441,279.594,1587.757,44.468
108.600,19.39,1148.08,7796.3,159926,176.7,1568,5.7,182.511,274.020,1586.349,44.716
110.700,19.72,1130.20,7967.6,159582,177.1,1698,5.7,182.076,269.965,1590.645,44.491
111.400,20.72,1106.73,7989.2,160147,177.8,1829,5.7,164.666,245.094,1576.425,47.064
124.900,24.53,1147.39,8007.8,159251,178.8,1642,5.7,182.460,272.781,1572.822,46.786
139.700,26.18,1076.92,8065.2,161082,179.8,1592,5.9,175.333,279.024,1588.439,48.107
139.200,27.04,1067.14,8089.3,158771,179.8,1764,5.8,183.057,289.026,1610.944,48.249
138.200,25.52,989.82,8117.2,160023,179.9,1717,5.8,176.532,279.718,1616.137,48.309
139.700,26.97,911.62,8108.8,161348,180.1,1655,5.8,178.275,284.708,1610.814,48.227
139.600,28.39,916.07,8117.7,162095,180.7,1633,5.7,179.670,295.874,1596.346,49.690
140.000,29.66,815.28,8135.9,159532,181.0,1804,5.7,162.336,263.909,1574.063,46.337
144.500,28.84,885.76,8169.4,159842,181.3,1648,5.7,166.105,295.480,1573.034,47.413
141.900,26.35,936.31,8195.9,160592,181.3,1753,5.9,168.706,289.623,1578.466,47.174
138.600,29.46,879.82,8226.3,161617,180.9,1788,6.0,177.372,270.973,1547.910,46.944
145.800,32.95,855.70,8251.3,161716,181.7,1853,5.8,178.412,267.623,1504.403,45.287
161.300,35.83,841.15,8268.1,158594,183.1,1629,5.9,161.920,237.278,1460.452,46.677
169.300,33.51,848.18,8317.6,161146,184.2,1726,5.9,179.907,285.994,1474.478,47.200
158.900,28.17,916.92,8356.8,161377,183.8,1643,6.0,171.774,297.835,1496.082,47.552
149.700,28.11,963.59,8412.0,162053,183.5,1751,6.1,175.568,314.748,1532.900,50.208
149.300,30.66,974.50,8449.6,163660,183.7,1867,6.3,169.772,301.151,1559.756,50.273
151.300,30.76,990.31,8567.8,164827,183.9,1897,6.2,170.452,311.061,1570.434,50.417
162.000,31.57,1008.01,8648.0,166799,184.6,1833,6.1,172.787,310.705,1571.972,50.980
167.900,28.31,995.97,8572.4,165271,185.2,1939,6.1,168.270,308.615,1597.968,49.099
156.400,30.34,1050.71,8606.2,164859,185.0,1967,6.0,174.020,311.950,1601.678,49.166
151.200,31.11,1058.20,8678.3,166784,184.5,2083,5.8,166.397,280.530,1598.206,48.026
147.900,32.13,1111.92,8712.4,165694,184.3,2057,5.7,172.715,300.206,1568.303,47.869
157.200,34.31,1131.13,8753.6,165982,185.2,1911,5.7,173.132,289.762,1556.354,43.502
164.800,34.69,1144.94,8792.7,166806,186.2,1846,5.6,161.583,270.188,1557.130,44.777
173.600,36.74,1126.21,8839.9,169393,187.4,1998,5.8,174.115,312.739,1570.788,45.899
179.800,36.75,1107.30,8884.2,167306,188.0,2003,5.6,166.810,303.443,1580.367,46.364
198.300,40.28,1120.68,8960.1,169480,189.1,1981,5.6,172.235,324.012,1610.065,46.570
196.900,38.03,1140.84,8989.2,166740,189.7,1828,5.6,162.208,315.989,1630.882,46.960
191.100,40.78,1101.72,9015.5,168446,189.4,2002,5.5,170.011,319.253,1646.102,46.519
187.800,44.90,1104.24,9049.3,168576,189.5,2024,5.4,165.072,324.258,1654.216,46.830
187.000,45.94,1114.58,9066.9,171026,189.9,1905,5.4,152.444,290.923,1641.501,44.965
200.000,53.28,1130.20,9110.0,171216,190.9,2072,5.5,160.270,321.222,1637.187,46.123
197.900,48.47,1173.78,9119.1,171016,191.0,1782,5.4,162.699,307.154,1656.220,45.081
184.100,43.15,1211.92,9458.4,173123,190.3,2042,5.4,170.815,313.120,1644.805,45.459
183.100,46.84,1181.27,9148.5,171809,190.7,2144,5.3,168.831,309.901,1631.066,43.110
191.000,48.15,1203.60,9179.0,172997,191.8,2207,5.4,154.038,286.124,1646.402,46.006
207.900,54.19,1180.59,9235.1,172199,193.3,1864,5.2,173.626,317.497,1644.426,46.561
224.300,52.98,1156.85,9279.7,174294,194.6,2061,5.2,166.885,306.734,1685.810,47.670
216.100,49.83,1191.50,9326.7,172805,194.4,2025,5.1,173.491,323.400,1713.593,47.706
215.600,56.35,1191.33,9359.1,177612,194.5,2068,5.0,163.263,322.953,1723.490,49.555
229.000,59.00,1234.18,9422.6,177894,195.4,2054,5.0,162.854,321.697,1727.179,49.238
248.600,64.99,1220.33,9476.0,174885,196.4,2095,4.9,161.153,322.526,1699.944,49.905
290.300,65.59,1228.81,9518.7,172893,198.8,2151,5.0,126.417,274.650,1688.275,47.523
271.700,62.26,1207.01,9578.4,172973,199.2,2065,5.0,141.200,292.751,1700.287,46.810
225.700,58.32,1249.48,9622.2,175188,197.6,2147,5.0,145.708,307.852,1713.340,48.145
218.500,59.41,1248.29,9675.3,175387,196.8,1994,4.9,154.630,309.886,1681.551,48.299
231.600,65.49,1280.08,9848.2,179441,198.3,2273,4.7,156.480,302.761,1696.514,46.198
228.000,61.63,1280.66,9894.7,177841,198.7,2119,4.8,140.894,279.530,1702.995,48.777
242.500,62.69,1302.88,9929.2,178446,199.8,1969,4.7,155.842,302.241,1674.831,48.822
274.200,69.44,1310.61,9957.7,178037,201.5,1821,4.7,152.450,295.774,1684.091,50.391
290.700,70.84,1270.05,9971.2,177061,202.5,1942,4.6,159.667,319.400,1707.169,49.981
288.500,70.95,1270.06,10017.0,177286,202.9,1802,4.6,154.884,321.369,1712.513,51.279
298.100,74.41,1278.53,10049.7,177041,203.5,1737,4.7,157.919,317.114,1726.740,50.998
295.200,73.04,1303.80,10079.7,176888,203.9,1650,4.7,156.232,327.476,1746.561,51.544
255.500,63.80,1335.82,10116.6,176759,202.9,1720,4.5,150.926,321.298,1768.870,49.132
224.500,58.89,1377.76,10147.8,177531,201.8,1491,4.4,158.353,313.272,1752.641,49.434
222.900,59.08,1400.63,10186.3,177850,201.5,1570,4.5,151.926,296.627,1728.775,48.213
231.300,61.96,1418.30,10254.7,179370,201.8,1649,4.4,160.768,296.219,1703.049,47.464
224.000,54.51,1438.24,10295.7,178661,202.4,1409,4.6,158.227,316.538,1706.809,44.904
227.800,59.28,1406.82,10356.6,178278,203.5,1480,4.5,143.294,252.238,1648.933,46.784
256.300,60.44,1420.86,10424.2,179121,205.4,1495,4.4,158.698,321.781,1660.261,47.307
284.500,63.98,1482.37,10442.3,177784,206.7,1490,4.5,155.500,304.815,1676.613,47.669
314.600,63.46,1530.62,10466.5,179385,207.9,1415,4.4,161.337,320.168,1706.518,49.172
305.600,67.49,1503.35,10476.0,177545,208.4,1448,4.6,152.143,300.437,1712.479,50.830
296.500,74.12,1455.27,10515.3,177970,208.3,1354,4.7,156.139,308.120,1716.222,48.921
278.600,72.36,1473.99,10530.6,178643,207.9,1330,4.6,154.508,319.805,1698.588,49.824
280.300,79.92,1526.75,10598.3,178923,208.5,1183,4.7,147.050,309.200,1699.464,47.859
280.300,85.80,1549.38,10609.7,179286,208.9,1264,4.7,156.674,303.317,1690.449,47.920
308.000,94.77,1481.14,10652.5,179464,210.2,1197,4.7,151.052,300.115,1672.428,47.339
301.800,91.69,1468.36,10726.6,177516,210.0,1037,5.0,158.368,304.870,1647.633,45.488
304.300,92.97,1378.55,10785.5,176885,211.1,1084,5.0,158.503,312.536,1659.070,45.099
302.800,95.39,1330.63,10828.0,174746,211.7,1103,4.9,149.259,279.439,1645.959,46.935
324.400,105.45,1322.70,10884.5,174263,213.5,1005,5.1,160.961,298.712,1637.298,46.666
345.800,112.58,1385.59,10869.2,174756,214.8,1013,5.0,154.669,299.373,1648.913,47.662
376.600,125.40,1400.38,11442.0,174617,216.6,973,5.4,159.453,299.584,1656.603,48.092
405.400,133.88,1280.00,11217.4,173172,218.8,1046,5.6,154.129,300.528,1668.491,47.963
406.200,133.37,1267.38,11087.9,171117,220.0,923,5.8,160.512,314.092,1680.705,46.913
377.900,116.67,1282.83,10990.1,170145,219.1,844,6.1,155.184,320.049,1693.096,47.336
370.300,104.11,1166.36,11013.4,167294,218.8,820,6.1,119.373,253.396,1686.870,45.027
305.100,76.61,968.75,11007.7,162630,216.6,777,6.5,146.893,312.681,1693.553,47.004
214.700,57.31,896.24,10958.6,159483,212.4,652,6.8,152.570,298.309,1714.474,45.681
168.700,41.12,903.25,10860.1,157080,210.2,560,7.3,158.478,291.995,1719.144,45.237
178.800,41.71,825.88,10912.4,159002,211.1,490,7.8,159.410,303.136,1747.478,43.169
192.300,39.09,735.09,10837.9,157855,212.2,582,8.3,146.808,254.061,1758.414,43.193
195.900,47.94,797.87,10828.5,155401,212.7,505,8.7,161.697,290.728,1784.196,43.280
204.900,49.65,872.81,10903.9,155759,213.2,478,9.0,158.556,281.218,1797.303,43.275
226.600,59.03,919.14,11088.5,156927,213.9,540,9.4,166.854,272.716,1812.794,43.144
263.100,69.64,919.32,10965.3,158076,215.7,585,9.5,158.193,274.054,1826.007,42.896
252.700,64.15,987.48,10921.6,158475,215.4,594,9.5,167.360,281.911,1831.772,42.028
261.600,71.05,1020.62,10923.6,160925,215.8,586,9.6,166.547,273.235,1815.681,42.329
255.400,69.41,1057.08,10956.5,156747,216.0,585,9.8,166.823,277.619,1830.408,41.166
255.100,75.72,1036.19,10945.4,157772,216.2,534,10.0,171.042,265.536,1807.079,41.057
265.100,77.99,1095.63,10996.3,158774,216.3,588,9.9,161.585,262.201,1795.899,40.239
260.700,74.47,1115.10,11040.4,159311,215.9,581,9.9,168.984,253.260,1758.336,40.218
271.500,78.33,1073.87,11041.1,159250,216.7,614,9.8,167.078,263.249,1765.236,37.493
264.400,76.39,1104.49,11023.0,159688,216.7,604,9.8,155.250,245.302,1763.830,37.697
277.200,81.20,1169.43,11060.3,163156,217.6,636,9.9,170.567,289.582,1766.248,38.819
284.800,84.29,1186.69,11141.1,164251,218.0,687,9.9,161.430,291.766,1789.268,39.481
283.600,73.74,1089.41,11220.6,163114,218.2,583,9.6,167.024,299.304,1809.736,39.171
273.200,75.34,1030.71,11231.2,162906,218.0,536,9.4,161.325,297.814,1821.087,39.836
272.900,76.32,1101.60,11253.9,162926,218.0,546,9.4,164.196,307.894,1834.656,38.934
273.000,76.60,1049.33,11304.7,163617,218.3,599,9.5,168.607,295.837,1841.275,38.356
270.500,75.24,1141.20,11301.3,164673,218.4,594,9.5,168.233,276.863,1840.659,37.266
280.100,81.89,1183.26,11355.5,166117,218.7,543,9.4,174.182,264.726,1826.427,37.133
285.900,84.25,1180.55,11407.2,167290,218.8,545,9.8,166.981,260.966,1806.159,36.595
299.300,89.15,1257.64,11514.5,167504,219.2,539,9.3,173.579,269.553,1772.751,36.366
309.500,89.17,1286.12,11600.4,168202,220.2,630,9.1,170.115,284.678,1787.823,34.706
321.100,88.58,1327.22,11664.6,168998,221.3,517,9.0,151.003,229.140,1758.832,35.170
356.100,102.86,1325.83,11691.7,169683,223.5,600,9.0,173.763,284.677,1754.378,35.998
380.000,109.53,1363.61,11712.1,169699,224.9,554,9.1,166.440,265.167,1757.203,36.008
390.600,100.90,1345.20,11744.0,169212,226.0,561,9.0,173.880,280.840,1784.450,35.685
368.000,96.26,1320.64,11798.8,170405,225.7,608,9.1,167.264,277.050,1786.438,36.661
365.000,97.30,1292.28,11869.0,169909,225.9,623,9.0,168.226,287.563,1793.605,36.521
363.900,86.33,1218.89,11888.0,169629,226.5,585,9.0,174.883,277.006,1773.743,36.501
361.100,85.52,1131.42,11873.0,170926,226.9,650,9.0,167.058,267.410,1758.991,36.131
344.800,86.32,1253.30,11890.7,172129,226.4,610,8.8,181.710,276.125,1747.389,26.926
338.400,97.16,1246.96,11895.5,172329,226.2,711,8.6,179.247,261.729,1747.855,26.086
326.600,98.56,1257.60,11988.6,172384,225.7,694,8.5,187.155,270.037,1727.629,25.628
338.000,100.27,1312.41,12107.1,173475,226.7,723,8.3,190.462,264.348,1747.005,24.013
357.900,102.20,1365.68,12201.4,175228,227.7,704,8.3,180.955,248.296,1741.804,25.032
385.200,106.16,1408.47,12261.4,175553,229.4,695,8.2,193.843,271.888,1757.897,25.044
390.000,103.32,1397.91,12310.5,174496,230.1,753,8.2,187.385,259.077,1758.671,25.161
373.200,94.66,1310.33,12314.5,174650,229.8,708,8.2,195.415,278.720,1771.645,25.580
353.900,82.30,1362.16,12339.0,173178,229.5,757,8.2,187.949,275.790,1784.342,26.499
343.900,87.90,1379.32,12310.0,173987,229.1,740,8.2,199.032,270.061,1786.997,26.079
372.200,94.13,1406.58,12329.4,174874,230.4,754,8.1,197.240,268.600,1774.519,27.013
384.900,94.51,1440.67,12426.9,175641,231.4,847,7.8,196.673,251.431,1792.875,25.831
374.600,89.49,1412.16,12536.6,175087,231.3,915,7.8,215.015,251.338,1783.295,24.272
345.200,86.53,1416.18,12689.0,176120,230.2,833,7.7,210.714,245.487,1783.412,23.938
331.000,87.86,1426.19,13018.8,177050,229.6,976,7.9,219.452,235.719,1780.077,23.452
331.900,94.76,1498.11,12230.7,177951,230.3,888,8.0,219.175,246.629,1782.708,22.993
367.000,95.31,1514.68,12274.6,178873,232.2,970,7.7,199.592,204.191,1761.747,23.771
371.100,92.94,1569.19,12272.5,177568,232.8,999,7.5,223.109,232.398,1764.502,23.889
357.000,92.02,1597.57,12266.8,178296,232.5,826,7.6,221.345,232.807,1778.873,23.758
361.500,94.51,1630.74,12345.2,178618,232.9,920,7.5,226.266,239.970,1788.028,20.527
362.600,95.77,1606.28,12395.7,179030,233.5,852,7.5,217.915,231.930,1790.285,20.356
359.100,104.67,1685.73,12401.8,179576,233.6,891,7.3,231.469,249.788,1789.268,19.807
357.400,106.57,1632.97,12456.6,178822,233.9,898,7.3,233.139,251.079,1794.193,20.241
353.200,106.29,1681.55,12503.1,178770,234.1,860,7.3,232.347,237.699,1804.371,19.549
334.400,100.54,1756.54,12487.6,179507,233.5,921,7.2,239.000,231.822,1780.938,19.951
324.300,93.86,1805.81,12539.1,179777,233.1,1104,6.9,236.545,222.248,1759.913,19.962
327.600,97.63,1848.36,12576.3,180071,233.0,1010,6.7,245.763,240.919,1731.501,15.750
331.300,94.62,1782.59,12650.8,178051,233.9,902,6.6,249.009,235.269,1717.944,15.117
335.600,100.82,1859.45,12729.7,180229,234.8,948,6.7,227.546,201.572,1719.455,15.568
353.300,100.80,1872.34,12827.0,182159,236.3,973,6.7,256.109,225.487,1727.321,16.429
366.100,102.07,1883.95,12891.1,183125,237.1,1038,6.2,258.148,226.639,1754.816,17.074
367.300,102.18,1923.57,12961.6,183343,237.9,987,6.2,266.739,222.177,1784.217,17.236
369.200,105.79,1960.23,13034.6,183780,238.3,928,6.1,261.545,212.025,1787.404,17.539
361.100,103.59,1930.67,13077.4,183525,238.3,1085,6.2,273.253,236.534,1790.645,17.518
348.700,96.54,2003.37,13135.4,184935,237.9,984,6.2,275.145,231.649,1795.657,17.548
340.600,93.21,1972.29,13169.5,184385,238.0,999,6.0,271.404,224.851,1808.554,17.453
317.100,84.40,2018.05,13232.4,185073,237.4,1094,5.7,286.231,221.600,1802.695,22.696
291.200,75.79,2067.56,13274.7,186059,236.2,994,5.8,279.201,218.845,1812.120,22.047
254.300,59.29,2058.90,13288.7,185227,234.8,1081,5.6,294.365,223.978,1827.038,22.379
211.600,47.22,1994.99,13242.0,185518,233.7,1101,5.7,290.746,222.315,1850.359,20.112
221.600,50.58,2104.50,13284.8,184176,234.7,893,5.5,266.465,198.807,1850.437,20.478
246.400,47.82,2067.89,13302.7,186748,236.1,964,5.5,296.531,235.360,1883.297,20.572
246.900,54.45,2085.51,13394.2,186435,236.6,1192,5.4,288.801,216.229,1908.969,21.051
271.800,59.27,2107.39,13472.0,187609,237.8,1063,5.5,293.617,224.604,1930.787,21.468
280.200,59.82,2063.11,13527.9,187323,238.6,1213,5.3,279.588,219.618,1941.278,21.608
279.400,50.90,2103.84,13576.1,188072,238.7,1147,5.3,291.964,228.160,1939.312,21.835
263.600,42.87,1972.18,13618.2,188389,238.3,1132,5.1,290.916,239.212,1961.620,21.513
236.500,45.48,1920.03,13640.8,188306,237.9,1189,5.1,282.684,216.838,1971.389,21.274
229.000,46.22,2079.36,13688.1,187883,237.8,1073,5.0,290.097,220.171,1978.637,21.464
215.800,42.39,2080.41,13719.9,188187,237.3,1171,5.0,279.132,221.130,1992.120,20.752
203.800,37.19,2043.94,13771.1,189231,236.5,1160,5.0,285.980,244.965,1984.571,20.879
